run-id,use_vernalisation_fix,sowing-date,harvest-date,cutting-date,crop-id,sim.json,crop.json,site.json,incl_hist,climate_path_to_latlon_file,climate_path_to_csvs,gcm,rcm,scenario,ensmem,version,start_date,end_date,groundwater-level,impenetrable-layer,elevation,slope,latitude,landcover,fertilization,NitrogenResponseOn,irrigation,WaterDeficitResponseOn,EmergenceMoistureControlOn,EmergenceFloodingControlOn,LeafExtensionModifier,CO2,O3,FieldConditionModifier,StageTemperatureSum,comment,region_name
1,True,fixed,fixed,fixed,GV,sim_hist.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,1990-10-01,2023-12-31,False,False,True,True,True,False,False,True,False,False,False,False,False,,,,,historic_runs,Sachsen
2,True,fixed,fixed,fixed,AP,sim_hist.json,crop.json,site.json,False,dwd/csvs,dwd/csvs/germany_ubn_1951-01-01_to_2024-08-30,,,,,,1990-10-01,2023-12-31,False,False,True,True,True,False,False,True,False,False,False,False,False,,,,,historic_runs,Sachsen
