nuts_name,gcm,rcm,path_to_latlon_id
Sachsen,CCCma-CanESM2,DWD-EPISODES-2018-01,latlon-to-id-CCCma-CanESM2-DWD-EPISODES-2018-01.json
Sachsen,ICHEC-EC-EARTH,CEC-WETTREG2018,latlon-to-id-ICHEC-EC-EARTH-CEC-WETTREG2018.json
Sachsen,ICHEC-EC-EARTH,DWD-EPISODES-2018-01,latlon-to-id-ICHEC-EC-EARTH-DWD-EPISODES-2018-01.json
Sachsen,MIROC-MIROC5,CLMcom-CCLM4-8-17,latlon-to-id-MIROC-MIROC5-CLMcom-CCLM4-8-17.json
Sachsen,MOHC-HadGEM2-ES,CEC-WETTREG2018,latlon-to-id-MOHC-HadGEM2-ES-CEC-WETTREG2018.json
Sachsen,MOHC-HadGEM2-ES,KNMI-RACMO22E,latlon-to-id-MOHC-HadGEM2-ES-KNMI-RACMO22E.json
Sachsen,MPI-M-MPI-ESM_LR,DWD-EPISODES-2018-01,latlon-to-id-MPI-M-MPI-ESM_LR-DWD-EPISODES-2018-01.json
