vgl_nr,vg_name,gcm,rcm,path_to_latlon_id
111,Dueben-Dahlener Heide,CCCma-CanESM2,DWD-EPISODES-2018-01,latlon-to-id-111-CCCma-CanESM2-DWD-EPISODES-2018-01.json
111,Dueben-Dahlener Heide,ICHEC-EC-EARTH,CEC-WETTREG2018,latlon-to-id-111-ICHEC-EC-EARTH-CEC-WETTREG2018.json
111,Dueben-Dahlener Heide,ICHEC-EC-EARTH,DWD-EPISODES-2018-01,latlon-to-id-111-ICHEC-EC-EARTH-DWD-EPISODES-2018-01.json
111,Dueben-Dahlener Heide,MIROC-MIROC5,CLMcom-CCLM4-8-17,latlon-to-id-111-MIROC-MIROC5-CLMcom-CCLM4-8-17.json
111,Dueben-Dahlener Heide,MOHC-HadGEM2-ES,CEC-WETTREG2018,latlon-to-id-111-MOHC-HadGEM2-ES-CEC-WETTREG2018.json
111,Dueben-Dahlener Heide,MOHC-HadGEM2-ES,KNMI-RACMO22E,latlon-to-id-111-MOHC-HadGEM2-ES-KNMI-RACMO22E.json
111,Dueben-Dahlener Heide,MPI-M-MPI-ESM_LR,DWD-EPISODES-2018-01,latlon-to-id-111-MPI-M-MPI-ESM_LR-DWD-EPISODES-2018-01.json
112,Lausitzer Heide- und Teichgebiet,CCCma-CanESM2,DWD-EPISODES-2018-01,latlon-to-id-112-CCCma-CanESM2-DWD-EPISODES-2018-01.json
112,Lausitzer Heide- und Teichgebiet,ICHEC-EC-EARTH,CEC-WETTREG2018,latlon-to-id-112-ICHEC-EC-EARTH-CEC-WETTREG2018.json
112,Lausitzer Heide- und Teichgebiet,ICHEC-EC-EARTH,DWD-EPISODES-2018-01,latlon-to-id-112-ICHEC-EC-EARTH-DWD-EPISODES-2018-01.json
112,Lausitzer Heide- und Teichgebiet,MIROC-MIROC5,CLMcom-CCLM4-8-17,latlon-to-id-112-MIROC-MIROC5-CLMcom-CCLM4-8-17.json
112,Lausitzer Heide- und Teichgebiet,MOHC-HadGEM2-ES,CEC-WETTREG2018,latlon-to-id-112-MOHC-HadGEM2-ES-CEC-WETTREG2018.json
112,Lausitzer Heide- und Teichgebiet,MOHC-HadGEM2-ES,KNMI-RACMO22E,latlon-to-id-112-MOHC-HadGEM2-ES-KNMI-RACMO22E.json
112,Lausitzer Heide- und Teichgebiet,MPI-M-MPI-ESM_LR,DWD-EPISODES-2018-01,latlon-to-id-112-MPI-M-MPI-ESM_LR-DWD-EPISODES-2018-01.json
221,Saechsische Elbtalniederung,CCCma-CanESM2,DWD-EPISODES-2018-01,latlon-to-id-221-CCCma-CanESM2-DWD-EPISODES-2018-01.json
221,Saechsische Elbtalniederung,ICHEC-EC-EARTH,CEC-WETTREG2018,latlon-to-id-221-ICHEC-EC-EARTH-CEC-WETTREG2018.json
221,Saechsische Elbtalniederung,ICHEC-EC-EARTH,DWD-EPISODES-2018-01,latlon-to-id-221-ICHEC-EC-EARTH-DWD-EPISODES-2018-01.json
